id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period
72,,2000-04-13,"1,467.17","1,477.52","1,439.34","1,440.51","1,440.51","1,032,000,000"
73,,2000-04-14,"1,440.51","1,440.51","1,339.40","1,356.56","1,356.56","1,279,700,000"
74,,2000-04-17,"1,356.56","1,401.53","1,346.50","1,401.44","1,401.44","1,204,700,000"
75,,2000-04-18,"1,401.44","1,441.61","1,397.81","1,441.61","1,441.61","1,109,400,000"
76,,2000-04-19,"1,441.61","1,447.69","1,424.26","1,427.47","1,427.47","1,001,400,000"
77,,2000-04-20,"1,427.47","1,435.49","1,422.08","1,434.54","1,434.54","896,200,000"
78,,2000-04-24,"1,434.54","1,434.54","1,407.13","1,429.86","1,429.86","868,700,000"
79,,2000-04-25,"1,429.86","1,477.67","1,429.86","1,477.44","1,477.44","1,071,100,000"
80,,2000-04-26,"1,477.44","1,482.94","1,456.98","1,460.99","1,460.99","999,600,000"
81,,2000-04-27,"1,460.99","1,469.21","1,434.81","1,464.92","1,464.92","1,111,000,000"
82,,2000-04-28,"1,464.92","1,473.62","1,448.15","1,452.43","1,452.43","984,600,000"
83,,2000-05-01,"1,452.43","1,481.51","1,452.43","1,468.25","1,468.25","966,300,000"
84,,2000-05-02,"1,468.25","1,468.25","1,445.22","1,446.29","1,446.29","1,011,500,000"
85,,2000-05-03,"1,446.29","1,446.29","1,398.36","1,415.10","1,415.10","991,600,000"
86,,2000-05-04,"1,415.10","1,420.99","1,404.94","1,409.57","1,409.57","925,800,000"
87,,2000-05-05,"1,409.57","1,436.03","1,405.08","1,432.63","1,432.63","805,500,000"
88,,2000-05-08,"1,432.63","1,432.63","1,417.05","1,424.17","1,424.17","787,600,000"
89,,2000-05-09,"1,424.17","1,430.28","1,401.85","1,412.14","1,412.14","896,600,000"
90,,2000-05-10,"1,412.14","1,412.14","1,375.14","1,383.05","1,383.05","1,006,400,000"
91,,2000-05-11,"1,383.05","1,410.26","1,383.05","1,407.81","1,407.81","953,600,000"
92,,2000-05-12,"1,407.81","1,430.13","1,407.81","1,420.96","1,420.96","858,200,000"
93,,2000-05-15,"1,420.96","1,452.39","1,416.54","1,452.36","1,452.36","854,600,000"
94,,2000-05-16,"1,452.36","1,470.40","1,450.76","1,466.04","1,466.04","955,500,000"
95,,2000-05-17,"1,466.04","1,466.04","1,441.67","1,447.80","1,447.80","820,500,000"
96,,2000-05-18,"1,447.80","1,458.04","1,436.59","1,437.21","1,437.21","807,900,000"
97,,2000-05-19,"1,437.21","1,437.21","1,401.74","1,406.95","1,406.95","853,700,000"
98,,2000-05-22,"1,406.95","1,410.55","1,368.73","1,400.72","1,400.72","869,000,000"
99,,2000-05-23,"1,400.72","1,403.77","1,373.43","1,373.86","1,373.86","869,900,000"
100,,2000-05-24,"1,373.86","1,401.75","1,361.09","1,399.05","1,399.05","1,152,300,000"
101,,2000-05-25,"1,399.05","1,411.65","1,373.93","1,381.52","1,381.52","984,500,000"
102,,2000-05-26,"1,381.52","1,391.42","1,369.75","1,378.02","1,378.02","722,600,000"
103,,2000-05-30,"1,378.02","1,422.45","1,378.02","1,422.45","1,422.45","844,200,000"
104,,2000-05-31,"1,422.44","1,434.49","1,415.50","1,420.60","1,420.60","960,500,000"
105,,2000-06-01,"1,420.60","1,448.81","1,420.60","1,448.81","1,448.81","960,100,000"
106,,2000-06-02,"1,448.81","1,483.23","1,448.81","1,477.26","1,477.26","1,162,400,000"
107,,2000-06-05,"1,477.26","1,477.28","1,464.68","1,467.63","1,467.63","838,600,000"
108,,2000-06-06,"1,467.63","1,471.36","1,454.74","1,457.84","1,457.84","950,100,000"
109,,2000-06-07,"1,457.84","1,474.64","1,455.06","1,471.36","1,471.36","854,600,000"
110,,2000-06-08,"1,471.36","1,475.65","1,456.49","1,461.67","1,461.67","854,300,000"
111,,2000-06-09,"1,461.67","1,472.67","1,454.96","1,456.95","1,456.95","786,000,000"
112,,2000-06-12,"1,456.95","1,462.93","1,445.99","1,446.00","1,446.00","774,100,000"
113,,2000-06-13,"1,446.00","1,470.42","1,442.38","1,469.44","1,469.44","935,900,000"
114,,2000-06-14,"1,469.44","1,483.62","1,467.71","1,470.54","1,470.54","929,700,000"
115,,2000-06-15,"1,470.54","1,482.04","1,464.62","1,478.73","1,478.73","1,011,400,000"
116,,2000-06-16,"1,478.73","1,480.77","1,460.42","1,464.46","1,464.46","1,250,800,000"
117,,2000-06-19,"1,464.46","1,488.93","1,459.05","1,486.00","1,486.00","921,700,000"
118,,2000-06-20,"1,486.00","1,487.32","1,470.18","1,475.95","1,475.95","1,031,500,000"
119,,2000-06-21,"1,475.95","1,482.19","1,468.00","1,479.13","1,479.13","1,009,600,000"
120,,2000-06-22,"1,479.13","1,479.13","1,448.03","1,452.18","1,452.18","1,022,700,000"
121,,2000-06-23,"1,452.18","1,459.94","1,438.31","1,441.48","1,441.48","847,600,000"
122,,2000-06-26,"1,441.48","1,459.66","1,441.48","1,455.31","1,455.31","889,000,000"
123,,2000-06-27,"1,455.31","1,463.35","1,450.55","1,450.55","1,450.55","1,042,500,000"
124,,2000-06-28,"1,450.55","1,467.63","1,450.55","1,454.82","1,454.82","1,095,100,000"
125,,2000-06-29,"1,454.82","1,455.14","1,434.63","1,442.39","1,442.39","1,110,900,000"
126,,2000-06-30,"1,442.39","1,454.68","1,438.71","1,454.60","1,454.60","1,459,700,000"
127,,2000-07-03,"1,454.60","1,469.58","1,450.85","1,469.54","1,469.54","451,900,000"
128,,2000-07-05,"1,469.54","1,469.54","1,442.45","1,446.23","1,446.23","1,019,300,000"
129,,2000-07-06,"1,446.23","1,461.65","1,439.56","1,456.67","1,456.67","947,300,000"
130,,2000-07-07,"1,456.67","1,484.12","1,456.67","1,478.90","1,478.90","931,700,000"
131,,2000-07-10,"1,478.90","1,486.56","1,474.76","1,475.62","1,475.62","838,700,000"
132,,2000-07-11,"1,475.62","1,488.77","1,470.48","1,480.88","1,480.88","980,500,000"
133,,2000-07-12,"1,480.88","1,497.69","1,480.88","1,492.92","1,492.92","1,001,200,000"
134,,2000-07-13,"1,492.92","1,501.39","1,489.65","1,495.84","1,495.84","1,026,800,000"
135,,2000-07-14,"1,495.84","1,509.99","1,494.56","1,509.98","1,509.98","960,600,000"
136,,2000-07-17,"1,509.98","1,517.32","1,505.26","1,510.49","1,510.49","906,000,000"
137,,2000-07-18,"1,510.49","1,510.49","1,491.35","1,493.74","1,493.74","908,300,000"
138,,2000-07-19,"1,493.74","1,495.63","1,479.92","1,481.96","1,481.96","909,400,000"
139,,2000-07-20,"1,481.96","1,501.92","1,481.96","1,495.57","1,495.57","1,064,600,000"
140,,2000-07-21,"1,495.57","1,495.57","1,477.91","1,480.19","1,480.19","968,300,000"
141,,2000-07-24,"1,480.19","1,485.88","1,463.80","1,464.29","1,464.29","880,300,000"
142,,2000-07-25,"1,464.29","1,476.23","1,464.29","1,474.47","1,474.47","969,400,000"
143,,2000-07-26,"1,474.47","1,474.47","1,452.42","1,452.42","1,452.42","1,235,800,000"
144,,2000-07-27,"1,452.42","1,464.91","1,445.33","1,449.62","1,449.62","1,156,400,000"
145,,2000-07-28,"1,449.62","1,456.68","1,413.89","1,419.89","1,419.89","980,000,000"
146,,2000-07-31,"1,419.89","1,437.65","1,418.71","1,430.83","1,430.83","952,600,000"
147,,2000-08-01,"1,430.83","1,443.54","1,428.96","1,438.10","1,438.10","938,700,000"
148,,2000-08-02,"1,438.10","1,451.59","1,433.49","1,438.70","1,438.70","994,500,000"
149,,2000-08-03,"1,438.70","1,454.19","1,425.43","1,452.56","1,452.56","1,095,600,000"
150,,2000-08-04,"1,452.56","1,462.93","1,451.31","1,462.93","1,462.93","956,000,000"
151,,2000-08-07,"1,462.93","1,480.80","1,460.72","1,479.32","1,479.32","854,800,000"
152,,2000-08-08,"1,479.32","1,484.52","1,472.61","1,482.80","1,482.80","992,200,000"
153,,2000-08-09,"1,482.80","1,490.33","1,471.16","1,472.87","1,472.87","1,054,000,000"
154,,2000-08-10,"1,472.87","1,475.15","1,459.89","1,460.25","1,460.25","940,800,000"
155,,2000-08-11,"1,460.25","1,475.72","1,453.06","1,471.84","1,471.84","835,500,000"
156,,2000-08-14,"1,471.84","1,491.64","1,468.56","1,491.56","1,491.56","783,800,000"
157,,2000-08-15,"1,491.56","1,493.12","1,482.74","1,484.43","1,484.43","895,900,000"
158,,2000-08-16,"1,484.43","1,496.09","1,475.74","1,479.85","1,479.85","929,800,000"
159,,2000-08-17,"1,479.85","1,499.32","1,479.85","1,496.07","1,496.07","922,400,000"
160,,2000-08-18,"1,496.07","1,499.47","1,488.99","1,491.72","1,491.72","821,400,000"
161,,2000-08-21,"1,491.72","1,502.84","1,491.13","1,499.48","1,499.48","731,600,000"
162,,2000-08-22,"1,499.48","1,508.45","1,497.42","1,498.13","1,498.13","818,800,000"
163,,2000-08-23,"1,498.13","1,507.20","1,489.52","1,505.97","1,505.97","871,000,000"
164,,2000-08-24,"1,505.97","1,511.16","1,501.25","1,508.31","1,508.31","837,100,000"
165,,2000-08-25,"1,508.31","1,513.47","1,505.09","1,506.45","1,506.45","685,600,000"
166,,2000-08-28,"1,506.45","1,523.95","1,506.45","1,514.09","1,514.09","733,600,000"
167,,2000-08-29,"1,514.09","1,514.81","1,505.46","1,509.84","1,509.84","795,600,000"
168,,2000-08-30,"1,509.84","1,510.49","1,500.09","1,502.59","1,502.59","818,400,000"
169,,2000-08-31,"1,502.59","1,525.21","1,502.59","1,517.68","1,517.68","1,056,600,000"
170,,2000-09-01,"1,517.68","1,530.09","1,515.53","1,520.77","1,520.77","767,700,000"
171,,2000-09-05,"1,520.77","1,520.77","1,504.21","1,507.08","1,507.08","838,500,000"
172,,2000-09-06,"1,507.08","1,512.61","1,492.12","1,492.25","1,492.25","995,100,000"
173,,2000-09-07,"1,492.25","1,505.34","1,492.25","1,502.51","1,502.51","985,500,000"
