id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period
1547,,2006-02-28,"1,294.12","1,294.12","1,278.66","1,280.66","1,280.66","2,370,860,000"
1548,,2006-03-01,"1,280.66","1,291.80","1,280.66","1,291.24","1,291.24","2,308,320,000"
1549,,2006-03-02,"1,291.24","1,291.24","1,283.21","1,289.14","1,289.14","2,494,590,000"
1550,,2006-03-03,"1,289.14","1,297.33","1,284.20","1,287.23","1,287.23","2,152,950,000"
1551,,2006-03-06,"1,287.23","1,288.23","1,275.67","1,278.26","1,278.26","2,280,190,000"
1552,,2006-03-07,"1,278.26","1,278.26","1,271.11","1,275.88","1,275.88","2,268,050,000"
1553,,2006-03-08,"1,275.88","1,280.33","1,268.42","1,278.47","1,278.47","2,442,870,000"
1554,,2006-03-09,"1,278.47","1,282.74","1,272.23","1,272.23","1,272.23","2,140,110,000"
1555,,2006-03-10,"1,272.23","1,284.37","1,271.11","1,281.42","1,281.42","2,123,450,000"
1556,,2006-03-13,"1,281.58","1,287.37","1,281.58","1,284.13","1,284.13","2,070,330,000"
1557,,2006-03-14,"1,284.13","1,298.14","1,282.67","1,297.48","1,297.48","2,165,270,000"
1558,,2006-03-15,"1,297.48","1,304.40","1,294.97","1,303.02","1,303.02","2,293,000,000"
1559,,2006-03-16,"1,303.02","1,310.45","1,303.02","1,305.33","1,305.33","2,292,180,000"
1560,,2006-03-17,"1,305.33","1,309.79","1,305.32","1,307.25","1,307.25","2,549,620,000"
1561,,2006-03-20,"1,307.25","1,310.00","1,303.59","1,305.08","1,305.08","1,976,830,000"
1562,,2006-03-21,"1,305.08","1,310.88","1,295.82","1,297.23","1,297.23","2,147,370,000"
1563,,2006-03-22,"1,297.23","1,305.97","1,295.81","1,305.04","1,305.04","2,039,810,000"
1564,,2006-03-23,"1,305.04","1,305.04","1,298.11","1,301.67","1,301.67","1,980,940,000"
1565,,2006-03-24,"1,301.67","1,306.53","1,298.89","1,302.95","1,302.95","2,326,070,000"
1566,,2006-03-27,"1,302.95","1,303.74","1,299.09","1,301.61","1,301.61","2,029,700,000"
1567,,2006-03-28,"1,301.61","1,306.24","1,291.84","1,293.23","1,293.23","2,148,580,000"
1568,,2006-03-29,"1,293.23","1,305.60","1,293.23","1,302.89","1,302.89","2,143,540,000"
1569,,2006-03-30,"1,302.89","1,310.15","1,296.72","1,300.25","1,300.25","2,294,560,000"
1570,,2006-03-31,"1,300.25","1,303.00","1,294.87","1,294.87","1,294.87","2,236,710,000"
1571,,2006-04-03,"1,302.88","1,309.19","1,296.65","1,297.81","1,297.81","2,494,080,000"
1572,,2006-04-04,"1,297.81","1,307.55","1,294.71","1,305.93","1,305.93","2,147,660,000"
1573,,2006-04-05,"1,305.93","1,312.81","1,304.82","1,311.56","1,311.56","2,420,020,000"
1574,,2006-04-06,"1,311.56","1,311.99","1,302.44","1,309.04","1,309.04","2,281,680,000"
1575,,2006-04-07,"1,309.04","1,314.07","1,294.18","1,295.50","1,295.50","2,082,470,000"
1576,,2006-04-10,"1,295.51","1,300.74","1,293.17","1,296.62","1,296.62","1,898,320,000"
1577,,2006-04-11,"1,296.60","1,300.71","1,282.96","1,286.57","1,286.57","2,232,880,000"
1578,,2006-04-12,"1,286.57","1,290.93","1,286.45","1,288.12","1,288.12","1,938,100,000"
1579,,2006-04-13,"1,288.12","1,292.09","1,283.37","1,289.12","1,289.12","1,891,940,000"
1580,,2006-04-17,"1,289.12","1,292.45","1,280.74","1,285.33","1,285.33","1,794,650,000"
1581,,2006-04-18,"1,285.33","1,309.02","1,285.33","1,307.28","1,307.28","2,595,440,000"
1582,,2006-04-19,"1,307.65","1,310.39","1,302.79","1,309.93","1,309.93","2,447,310,000"
1583,,2006-04-20,"1,309.93","1,318.16","1,306.38","1,311.46","1,311.46","2,512,920,000"
1584,,2006-04-21,"1,311.46","1,317.67","1,306.59","1,311.28","1,311.28","2,392,630,000"
1585,,2006-04-24,"1,311.28","1,311.28","1,303.79","1,308.11","1,308.11","2,117,330,000"
1586,,2006-04-25,"1,308.11","1,310.79","1,299.17","1,301.74","1,301.74","2,366,380,000"
1587,,2006-04-26,"1,301.74","1,310.97","1,301.74","1,305.41","1,305.41","2,502,690,000"
1588,,2006-04-27,"1,305.41","1,315.00","1,295.57","1,309.72","1,309.72","2,772,010,000"
1589,,2006-04-28,"1,309.72","1,316.04","1,306.16","1,310.61","1,310.61","2,419,920,000"
1590,,2006-05-01,"1,310.61","1,317.21","1,303.46","1,305.19","1,305.19","2,437,040,000"
1591,,2006-05-02,"1,305.19","1,313.66","1,305.19","1,313.21","1,313.21","2,403,470,000"
1592,,2006-05-03,"1,313.21","1,313.47","1,303.92","1,308.12","1,308.12","2,395,230,000"
1593,,2006-05-04,"1,307.85","1,315.14","1,307.85","1,312.25","1,312.25","2,431,450,000"
1594,,2006-05-05,"1,312.25","1,326.53","1,312.25","1,325.76","1,325.76","2,294,760,000"
1595,,2006-05-08,"1,325.76","1,326.70","1,322.87","1,324.66","1,324.66","2,151,300,000"
1596,,2006-05-09,"1,324.66","1,326.60","1,322.48","1,325.14","1,325.14","2,157,290,000"
1597,,2006-05-10,"1,324.57","1,325.51","1,317.44","1,322.85","1,322.85","2,268,550,000"
1598,,2006-05-11,"1,322.63","1,322.63","1,303.45","1,305.92","1,305.92","2,531,520,000"
1599,,2006-05-12,"1,305.88","1,305.88","1,290.38","1,291.24","1,291.24","2,567,970,000"
1600,,2006-05-15,"1,291.19","1,294.81","1,284.51","1,294.50","1,294.50","2,505,660,000"
1601,,2006-05-16,"1,294.50","1,297.88","1,288.51","1,292.08","1,292.08","2,386,210,000"
1602,,2006-05-17,"1,291.73","1,291.73","1,267.31","1,270.32","1,270.32","2,830,200,000"
1603,,2006-05-18,"1,270.25","1,274.89","1,261.75","1,261.81","1,261.81","2,537,490,000"
1604,,2006-05-19,"1,261.81","1,272.15","1,256.28","1,267.03","1,267.03","2,982,300,000"
1605,,2006-05-22,"1,267.03","1,268.77","1,252.98","1,262.07","1,262.07","2,773,010,000"
1606,,2006-05-23,"1,262.06","1,273.67","1,256.15","1,256.58","1,256.58","2,605,250,000"
1607,,2006-05-24,"1,256.56","1,264.53","1,245.34","1,258.57","1,258.57","2,999,030,000"
1608,,2006-05-25,"1,258.41","1,273.26","1,258.41","1,272.88","1,272.88","2,372,730,000"
1609,,2006-05-26,"1,272.71","1,280.54","1,272.50","1,280.16","1,280.16","1,814,020,000"
1610,,2006-05-30,"1,280.04","1,280.04","1,259.87","1,259.87","1,259.87","2,176,190,000"
1611,,2006-05-31,"1,259.38","1,270.09","1,259.38","1,270.09","1,270.09","2,692,160,000"
1612,,2006-06-01,"1,270.05","1,285.71","1,269.19","1,285.71","1,285.71","2,360,160,000"
1613,,2006-06-02,"1,285.71","1,290.68","1,280.22","1,288.22","1,288.22","2,295,540,000"
1614,,2006-06-05,"1,288.16","1,288.16","1,264.66","1,265.29","1,265.29","2,313,470,000"
1615,,2006-06-06,"1,265.23","1,269.88","1,254.46","1,263.85","1,263.85","2,697,650,000"
1616,,2006-06-07,"1,263.61","1,272.47","1,255.77","1,256.15","1,256.15","2,644,170,000"
1617,,2006-06-08,"1,256.08","1,259.85","1,235.18","1,257.93","1,257.93","3,543,790,000"
1618,,2006-06-09,"1,257.93","1,262.58","1,250.03","1,252.30","1,252.30","2,214,000,000"
1619,,2006-06-12,"1,252.27","1,255.22","1,236.43","1,237.44","1,237.44","2,247,010,000"
1620,,2006-06-13,"1,236.08","1,243.37","1,222.52","1,223.69","1,223.69","3,215,770,000"
1621,,2006-06-14,"1,223.66","1,231.46","1,219.29","1,230.04","1,230.04","2,667,990,000"
1622,,2006-06-15,"1,230.01","1,258.64","1,230.01","1,256.16","1,256.16","2,775,480,000"
1623,,2006-06-16,"1,256.16","1,256.27","1,246.33","1,251.54","1,251.54","2,783,390,000"
1624,,2006-06-19,"1,251.54","1,255.93","1,237.17","1,240.13","1,240.13","2,517,200,000"
1625,,2006-06-20,"1,240.12","1,249.01","1,238.87","1,240.12","1,240.12","2,232,950,000"
1626,,2006-06-21,"1,240.09","1,257.96","1,240.09","1,252.20","1,252.20","2,361,230,000"
1627,,2006-06-22,"1,251.92","1,251.92","1,241.53","1,245.60","1,245.60","2,148,180,000"
1628,,2006-06-23,"1,245.59","1,253.13","1,241.43","1,244.50","1,244.50","2,017,270,000"
1629,,2006-06-26,"1,244.50","1,250.92","1,243.68","1,250.56","1,250.56","1,878,580,000"
1630,,2006-06-27,"1,250.55","1,253.37","1,238.94","1,239.20","1,239.20","2,203,130,000"
1631,,2006-06-28,"1,238.99","1,247.06","1,237.59","1,246.00","1,246.00","2,085,490,000"
1632,,2006-06-29,"1,245.94","1,272.88","1,245.94","1,272.87","1,272.87","2,621,250,000"
1633,,2006-06-30,"1,272.86","1,276.30","1,270.20","1,270.20","1,270.20","3,049,560,000"
1634,,2006-07-03,"1,270.06","1,280.38","1,270.06","1,280.19","1,280.19","1,114,470,000"
1635,,2006-07-05,"1,280.05","1,280.05","1,265.91","1,270.91","1,270.91","2,165,070,000"
1636,,2006-07-06,"1,270.58","1,278.32","1,270.58","1,274.08","1,274.08","2,009,160,000"
1637,,2006-07-07,"1,274.08","1,275.38","1,263.13","1,265.48","1,265.48","1,988,150,000"
1638,,2006-07-10,"1,265.46","1,274.06","1,264.46","1,267.34","1,267.34","1,854,590,000"
1639,,2006-07-11,"1,267.26","1,273.64","1,259.65","1,272.43","1,272.43","2,310,850,000"
1640,,2006-07-12,"1,272.39","1,273.31","1,257.29","1,258.60","1,258.60","2,250,450,000"
1641,,2006-07-13,"1,258.58","1,258.58","1,241.43","1,242.28","1,242.28","2,545,760,000"
1642,,2006-07-14,"1,242.29","1,242.70","1,228.45","1,236.20","1,236.20","2,467,120,000"
1643,,2006-07-17,"1,236.20","1,240.07","1,231.49","1,234.49","1,234.49","2,146,410,000"
1644,,2006-07-18,"1,234.48","1,239.86","1,224.54","1,236.86","1,236.86","2,481,750,000"
1645,,2006-07-19,"1,236.74","1,261.81","1,236.74","1,259.81","1,259.81","2,701,980,000"
1646,,2006-07-20,"1,259.81","1,262.56","1,249.13","1,249.13","1,249.13","2,345,580,000"
1647,,2006-07-21,"1,249.12","1,250.96","1,238.72","1,240.29","1,240.29","2,704,090,000"
1648,,2006-07-24,"1,240.25","1,262.50","1,240.25","1,260.91","1,260.91","2,312,720,000"
1649,,2006-07-25,"1,260.91","1,272.39","1,257.19","1,268.88","1,268.88","2,563,930,000"
1650,,2006-07-26,"1,268.87","1,273.89","1,261.94","1,268.40","1,268.40","2,667,710,000"
1651,,2006-07-27,"1,268.20","1,275.85","1,261.92","1,263.20","1,263.20","2,776,710,000"
1652,,2006-07-28,"1,263.15","1,280.42","1,263.15","1,278.55","1,278.55","2,480,420,000"
1653,,2006-07-31,"1,278.53","1,278.66","1,274.31","1,276.66","1,276.66","2,461,300,000"
1654,,2006-08-01,"1,278.53","1,278.66","1,265.71","1,270.92","1,270.92","2,527,690,000"
1655,,2006-08-02,"1,270.73","1,283.42","1,270.73","1,277.41","1,277.41","2,610,750,000"
1656,,2006-08-03,"1,278.22","1,283.96","1,271.25","1,280.27","1,280.27","2,728,440,000"
1657,,2006-08-04,"1,280.26","1,292.92","1,273.82","1,279.36","1,279.36","2,530,970,000"
1658,,2006-08-07,"1,279.31","1,279.31","1,273.00","1,275.77","1,275.77","2,045,660,000"
1659,,2006-08-08,"1,275.67","1,282.75","1,268.37","1,271.48","1,271.48","2,457,840,000"
1660,,2006-08-09,"1,271.13","1,283.74","1,264.73","1,265.95","1,265.95","2,555,180,000"
1661,,2006-08-10,"1,265.72","1,272.55","1,261.30","1,271.81","1,271.81","2,402,190,000"
1662,,2006-08-11,"1,271.64","1,271.64","1,262.08","1,266.74","1,266.74","2,004,540,000"
1663,,2006-08-14,"1,266.67","1,278.90","1,266.67","1,268.21","1,268.21","2,118,020,000"
1664,,2006-08-15,"1,268.19","1,286.23","1,268.19","1,285.58","1,285.58","2,334,100,000"
1665,,2006-08-16,"1,285.27","1,296.21","1,285.27","1,295.43","1,295.43","2,554,570,000"
1666,,2006-08-17,"1,295.37","1,300.78","1,292.71","1,297.48","1,297.48","2,458,340,000"
1667,,2006-08-18,"1,297.48","1,302.30","1,293.57","1,302.30","1,302.30","2,033,910,000"
1668,,2006-08-21,"1,302.30","1,302.30","1,295.51","1,297.52","1,297.52","1,759,240,000"
1669,,2006-08-22,"1,297.52","1,302.49","1,294.44","1,298.82","1,298.82","1,908,740,000"
1670,,2006-08-23,"1,298.73","1,301.50","1,289.82","1,292.99","1,292.99","1,893,670,000"
1671,,2006-08-24,"1,292.97","1,297.23","1,291.40","1,296.06","1,296.06","1,930,320,000"
1672,,2006-08-25,"1,295.92","1,298.88","1,292.39","1,295.09","1,295.09","1,667,580,000"
1673,,2006-08-28,"1,295.09","1,305.02","1,293.97","1,301.78","1,301.78","1,834,920,000"
1674,,2006-08-29,"1,301.57","1,305.02","1,295.29","1,304.28","1,304.28","2,093,720,000"
1675,,2006-08-30,"1,303.70","1,306.74","1,302.15","1,305.37","1,305.37","2,060,690,000"
1676,,2006-08-31,"1,304.25","1,306.11","1,302.45","1,303.82","1,303.82","1,974,540,000"
1677,,2006-09-01,"1,303.80","1,312.03","1,303.80","1,311.01","1,311.01","1,800,520,000"
1678,,2006-09-05,"1,310.94","1,314.67","1,308.82","1,313.25","1,313.25","2,114,480,000"
1679,,2006-09-06,"1,313.04","1,313.04","1,299.28","1,300.26","1,300.26","2,329,870,000"
1680,,2006-09-07,"1,300.21","1,301.25","1,292.13","1,294.02","1,294.02","2,325,850,000"
1681,,2006-09-08,"1,294.02","1,300.14","1,294.02","1,298.92","1,298.92","2,132,890,000"
1682,,2006-09-11,"1,298.86","1,302.36","1,290.93","1,299.54","1,299.54","2,506,430,000"
1683,,2006-09-12,"1,299.53","1,314.28","1,299.53","1,313.00","1,313.00","2,791,580,000"
1684,,2006-09-13,"1,312.74","1,319.92","1,311.12","1,318.07","1,318.07","2,597,220,000"
1685,,2006-09-14,"1,318.00","1,318.00","1,313.25","1,316.28","1,316.28","2,351,220,000"
1686,,2006-09-15,"1,316.28","1,324.65","1,316.28","1,319.66","1,319.66","3,198,030,000"
1687,,2006-09-18,"1,319.85","1,324.87","1,318.16","1,321.18","1,321.18","2,325,080,000"
1688,,2006-09-19,"1,321.17","1,322.04","1,312.17","1,317.64","1,317.64","2,390,850,000"
1689,,2006-09-20,"1,318.28","1,328.53","1,318.28","1,325.18","1,325.18","2,543,070,000"
1690,,2006-09-21,"1,324.89","1,328.19","1,315.45","1,318.03","1,318.03","2,627,440,000"
1691,,2006-09-22,"1,318.03","1,318.03","1,310.94","1,314.78","1,314.78","2,162,880,000"
1692,,2006-09-25,"1,314.78","1,329.35","1,311.58","1,326.37","1,326.37","2,710,240,000"
1693,,2006-09-26,"1,326.35","1,336.60","1,325.30","1,336.35","1,336.35","2,673,350,000"
1694,,2006-09-27,"1,336.12","1,340.08","1,333.54","1,336.59","1,336.59","2,749,190,000"
1695,,2006-09-28,"1,336.56","1,340.28","1,333.75","1,338.88","1,338.88","2,397,820,000"
1696,,2006-09-29,"1,339.15","1,339.88","1,335.64","1,335.85","1,335.85","2,273,430,000"
1697,,2006-10-02,"1,335.82","1,338.54","1,330.28","1,331.32","1,331.32","2,154,480,000"
1698,,2006-10-03,"1,331.32","1,338.31","1,327.10","1,334.11","1,334.11","2,682,690,000"
1699,,2006-10-04,"1,333.81","1,350.20","1,331.48","1,350.20","1,350.20","3,019,880,000"
1700,,2006-10-05,"1,349.84","1,353.79","1,347.75","1,353.22","1,353.22","2,817,240,000"
1701,,2006-10-06,"1,353.22","1,353.22","1,344.21","1,349.59","1,349.59","2,523,000,000"
1702,,2006-10-09,"1,349.58","1,352.69","1,346.55","1,350.66","1,350.66","1,935,170,000"
1703,,2006-10-10,"1,350.62","1,354.23","1,348.60","1,353.42","1,353.42","2,376,140,000"
1704,,2006-10-11,"1,353.28","1,353.97","1,343.57","1,349.95","1,349.95","2,521,000,000"
1705,,2006-10-12,"1,349.94","1,363.76","1,349.94","1,362.83","1,362.83","2,514,350,000"
1706,,2006-10-13,"1,362.82","1,366.63","1,360.50","1,365.62","1,365.62","2,482,920,000"
1707,,2006-10-16,"1,365.61","1,370.20","1,364.48","1,369.06","1,369.06","2,305,920,000"
1708,,2006-10-17,"1,369.05","1,369.05","1,356.87","1,364.05","1,364.05","2,519,620,000"
1709,,2006-10-18,"1,363.93","1,372.87","1,360.95","1,365.80","1,365.80","2,658,840,000"
1710,,2006-10-19,"1,365.95","1,368.09","1,362.06","1,366.96","1,366.96","2,619,830,000"
1711,,2006-10-20,"1,366.94","1,368.66","1,362.10","1,368.60","1,368.60","2,526,410,000"
1712,,2006-10-23,"1,368.58","1,377.40","1,363.94","1,377.02","1,377.02","2,480,430,000"
1713,,2006-10-24,"1,377.02","1,377.78","1,372.42","1,377.38","1,377.38","2,876,890,000"
1714,,2006-10-25,"1,377.36","1,383.61","1,376.00","1,382.22","1,382.22","2,953,540,000"
1715,,2006-10-26,"1,382.21","1,389.45","1,379.47","1,389.08","1,389.08","2,793,350,000"
1716,,2006-10-27,"1,388.89","1,388.89","1,375.85","1,377.34","1,377.34","2,458,450,000"
1717,,2006-10-30,"1,377.30","1,381.22","1,373.46","1,377.93","1,377.93","2,770,440,000"
1718,,2006-10-31,"1,377.93","1,381.21","1,372.19","1,377.94","1,377.94","2,803,030,000"
1719,,2006-11-01,"1,377.76","1,381.95","1,366.26","1,367.81","1,367.81","2,821,160,000"
1720,,2006-11-02,"1,367.44","1,368.39","1,362.21","1,367.34","1,367.34","2,646,180,000"
1721,,2006-11-03,"1,367.31","1,371.68","1,360.98","1,364.30","1,364.30","2,419,730,000"
1722,,2006-11-06,"1,364.27","1,381.40","1,364.27","1,379.78","1,379.78","2,533,550,000"
1723,,2006-11-07,"1,379.75","1,388.19","1,379.19","1,382.84","1,382.84","2,636,390,000"
1724,,2006-11-08,"1,382.50","1,388.61","1,379.33","1,385.72","1,385.72","2,814,820,000"
1725,,2006-11-09,"1,385.43","1,388.92","1,377.31","1,378.33","1,378.33","3,012,050,000"
1726,,2006-11-10,"1,378.33","1,381.04","1,375.60","1,380.90","1,380.90","2,290,200,000"
1727,,2006-11-13,"1,380.58","1,387.61","1,378.80","1,384.42","1,384.42","2,386,340,000"
1728,,2006-11-14,"1,384.36","1,394.49","1,379.07","1,393.22","1,393.22","3,027,480,000"
1729,,2006-11-15,"1,392.91","1,401.35","1,392.13","1,396.57","1,396.57","2,831,130,000"
1730,,2006-11-16,"1,396.53","1,403.76","1,396.53","1,399.76","1,399.76","2,835,730,000"
1731,,2006-11-17,"1,399.76","1,401.21","1,394.55","1,401.20","1,401.20","2,726,100,000"
1732,,2006-11-20,"1,401.17","1,404.37","1,397.85","1,400.50","1,400.50","2,546,710,000"
1733,,2006-11-21,"1,400.43","1,403.49","1,399.99","1,402.81","1,402.81","2,597,940,000"
1734,,2006-11-22,"1,402.69","1,407.89","1,402.26","1,406.09","1,406.09","2,237,710,000"
1735,,2006-11-24,"1,405.94","1,405.94","1,399.25","1,400.95","1,400.95","832,550,000"
1736,,2006-11-27,"1,400.95","1,400.95","1,381.44","1,381.96","1,381.96","2,711,210,000"
1737,,2006-11-28,"1,381.61","1,387.91","1,377.83","1,386.72","1,386.72","2,639,750,000"
1738,,2006-11-29,"1,386.11","1,401.14","1,386.11","1,399.48","1,399.48","2,790,970,000"
1739,,2006-11-30,"1,399.47","1,406.30","1,393.83","1,400.63","1,400.63","4,006,230,000"
1740,,2006-12-01,"1,400.63","1,402.46","1,385.93","1,396.71","1,396.71","2,800,980,000"
1741,,2006-12-04,"1,396.67","1,411.23","1,396.67","1,409.12","1,409.12","2,766,320,000"
1742,,2006-12-05,"1,409.10","1,415.27","1,408.78","1,414.76","1,414.76","2,755,700,000"
1743,,2006-12-06,"1,414.40","1,415.93","1,411.05","1,412.90","1,412.90","2,725,280,000"
1744,,2006-12-07,"1,412.86","1,418.27","1,406.80","1,407.29","1,407.29","2,743,150,000"
1745,,2006-12-08,"1,407.27","1,414.09","1,403.67","1,409.84","1,409.84","2,440,460,000"
1746,,2006-12-11,"1,409.81","1,415.60","1,408.56","1,413.04","1,413.04","2,289,900,000"
1747,,2006-12-12,"1,413.00","1,413.78","1,404.75","1,411.56","1,411.56","2,738,170,000"
1748,,2006-12-13,"1,411.32","1,416.64","1,411.05","1,413.21","1,413.21","2,552,260,000"
1749,,2006-12-14,"1,413.16","1,427.23","1,413.16","1,425.49","1,425.49","2,729,700,000"
1750,,2006-12-15,"1,425.48","1,431.63","1,425.48","1,427.09","1,427.09","3,229,580,000"
1751,,2006-12-18,"1,427.08","1,431.81","1,420.65","1,422.48","1,422.48","2,568,140,000"
1752,,2006-12-19,"1,422.42","1,428.30","1,414.88","1,425.55","1,425.55","2,717,060,000"
1753,,2006-12-20,"1,425.51","1,429.05","1,423.51","1,423.53","1,423.53","2,387,630,000"
1754,,2006-12-21,"1,423.20","1,426.40","1,415.90","1,418.30","1,418.30","2,322,410,000"
1755,,2006-12-22,"1,418.10","1,418.82","1,410.28","1,410.76","1,410.76","1,647,590,000"
1756,,2006-12-26,"1,410.75","1,417.91","1,410.45","1,416.90","1,416.90","1,310,310,000"
1757,,2006-12-27,"1,416.63","1,427.72","1,416.63","1,426.84","1,426.84","1,667,370,000"
1758,,2006-12-28,"1,426.77","1,427.26","1,422.05","1,424.73","1,424.73","1,508,570,000"
1759,,2006-12-29,"1,424.71","1,427.00","1,416.84","1,418.30","1,418.30","1,678,200,000"
1760,,2007-01-03,"1,418.03","1,429.42","1,407.86","1,416.60","1,416.60","3,429,160,000"
1761,,2007-01-04,"1,416.60","1,421.84","1,408.43","1,418.34","1,418.34","3,004,460,000"
1762,,2007-01-05,"1,418.34","1,418.34","1,405.75","1,409.71","1,409.71","2,919,400,000"
1763,,2007-01-08,"1,409.26","1,414.98","1,403.97","1,412.84","1,412.84","2,763,340,000"
1764,,2007-01-09,"1,412.84","1,415.61","1,405.42","1,412.11","1,412.11","3,038,380,000"
1765,,2007-01-10,"1,408.70","1,415.99","1,405.32","1,414.85","1,414.85","2,764,660,000"
1766,,2007-01-11,"1,414.84","1,427.12","1,414.84","1,423.82","1,423.82","2,857,870,000"
1767,,2007-01-12,"1,423.82","1,431.23","1,422.58","1,430.73","1,430.73","2,686,480,000"
1768,,2007-01-16,"1,430.73","1,433.93","1,428.62","1,431.90","1,431.90","2,599,530,000"
1769,,2007-01-17,"1,431.77","1,435.27","1,428.57","1,430.62","1,430.62","2,690,270,000"
1770,,2007-01-18,"1,430.59","1,432.96","1,424.21","1,426.37","1,426.37","2,822,430,000"
1771,,2007-01-19,"1,426.35","1,431.57","1,425.19","1,430.50","1,430.50","2,777,480,000"
1772,,2007-01-22,"1,430.47","1,431.39","1,420.40","1,422.95","1,422.95","2,540,120,000"
1773,,2007-01-23,"1,422.95","1,431.33","1,421.66","1,427.99","1,427.99","2,975,070,000"
1774,,2007-01-24,"1,427.96","1,440.14","1,427.96","1,440.13","1,440.13","2,783,180,000"
1775,,2007-01-25,"1,440.12","1,440.69","1,422.34","1,423.90","1,423.90","2,994,330,000"
1776,,2007-01-26,"1,423.90","1,427.27","1,416.96","1,422.18","1,422.18","2,626,620,000"
1777,,2007-01-29,"1,422.03","1,426.94","1,418.46","1,420.62","1,420.62","2,730,480,000"
1778,,2007-01-30,"1,420.61","1,428.82","1,420.61","1,428.82","1,428.82","2,706,250,000"
1779,,2007-01-31,"1,428.65","1,441.61","1,424.78","1,438.24","1,438.24","2,976,690,000"
1780,,2007-02-01,"1,437.90","1,446.64","1,437.90","1,445.94","1,445.94","2,914,890,000"
1781,,2007-02-02,"1,445.94","1,449.33","1,444.49","1,448.39","1,448.39","2,569,450,000"
1782,,2007-02-05,"1,448.33","1,449.38","1,443.85","1,446.99","1,446.99","2,439,430,000"
1783,,2007-02-06,"1,446.98","1,450.19","1,443.40","1,448.00","1,448.00","2,608,710,000"
1784,,2007-02-07,"1,447.41","1,452.99","1,446.44","1,450.02","1,450.02","2,618,820,000"
1785,,2007-02-08,"1,449.99","1,450.45","1,442.81","1,448.31","1,448.31","2,816,180,000"
1786,,2007-02-09,"1,448.25","1,452.45","1,433.44","1,438.06","1,438.06","2,951,810,000"
1787,,2007-02-12,"1,438.00","1,439.11","1,431.44","1,433.37","1,433.37","2,395,680,000"
1788,,2007-02-13,"1,433.22","1,444.41","1,433.22","1,444.26","1,444.26","2,652,150,000"
1789,,2007-02-14,"1,443.91","1,457.65","1,443.91","1,455.30","1,455.30","2,699,290,000"
1790,,2007-02-15,"1,455.15","1,457.97","1,453.19","1,456.81","1,456.81","2,490,920,000"
1791,,2007-02-16,"1,456.77","1,456.77","1,451.57","1,455.54","1,455.54","2,399,450,000"
1792,,2007-02-20,"1,455.53","1,460.53","1,449.20","1,459.68","1,459.68","2,337,860,000"
1793,,2007-02-21,"1,459.60","1,459.60","1,452.02","1,457.63","1,457.63","2,606,980,000"
1794,,2007-02-22,"1,457.29","1,461.57","1,450.51","1,456.38","1,456.38","1,950,770,000"
1795,,2007-02-23,"1,456.22","1,456.22","1,448.36","1,451.19","1,451.19","2,579,950,000"
1796,,2007-02-26,"1,451.04","1,456.95","1,445.48","1,449.37","1,449.37","2,822,170,000"
1797,,2007-02-27,"1,449.25","1,449.25","1,389.42","1,399.04","1,399.04","4,065,230,000"
1798,,2007-02-28,"1,398.64","1,415.89","1,396.65","1,406.82","1,406.82","3,925,250,000"
1799,,2007-03-01,"1,406.80","1,409.46","1,380.87","1,403.17","1,403.17","3,874,910,000"
1800,,2007-03-02,"1,403.16","1,403.40","1,386.87","1,387.17","1,387.17","3,312,260,000"
1801,,2007-03-05,"1,387.11","1,391.86","1,373.97","1,374.12","1,374.12","3,480,520,000"
1802,,2007-03-06,"1,374.06","1,397.90","1,374.06","1,395.41","1,395.41","3,358,160,000"
1803,,2007-03-07,"1,395.02","1,401.16","1,390.64","1,391.97","1,391.97","3,141,350,000"
1804,,2007-03-08,"1,391.88","1,407.93","1,391.88","1,401.89","1,401.89","3,014,850,000"
1805,,2007-03-09,"1,401.89","1,410.15","1,397.30","1,402.84","1,402.84","2,623,050,000"
1806,,2007-03-12,"1,402.80","1,409.34","1,398.40","1,406.60","1,406.60","2,664,000,000"
1807,,2007-03-13,"1,406.23","1,406.23","1,377.71","1,377.95","1,377.95","3,485,570,000"
1808,,2007-03-14,"1,377.86","1,388.09","1,363.98","1,387.17","1,387.17","3,758,350,000"
1809,,2007-03-15,"1,387.11","1,395.73","1,385.16","1,392.28","1,392.28","2,821,900,000"
1810,,2007-03-16,"1,392.28","1,397.51","1,383.63","1,386.95","1,386.95","3,393,640,000"
1811,,2007-03-19,"1,386.95","1,403.20","1,386.95","1,402.06","1,402.06","2,777,180,000"
1812,,2007-03-20,"1,402.04","1,411.53","1,400.70","1,410.94","1,410.94","2,795,940,000"
1813,,2007-03-21,"1,410.92","1,437.77","1,409.75","1,435.04","1,435.04","3,184,770,000"
1814,,2007-03-22,"1,435.04","1,437.66","1,429.88","1,434.54","1,434.54","3,129,970,000"
1815,,2007-03-23,"1,434.54","1,438.89","1,433.21","1,436.11","1,436.11","2,619,020,000"
1816,,2007-03-26,"1,436.11","1,437.65","1,423.28","1,437.50","1,437.50","2,754,660,000"
1817,,2007-03-27,"1,437.49","1,437.49","1,425.54","1,428.61","1,428.61","2,673,040,000"
1818,,2007-03-28,"1,428.35","1,428.35","1,414.07","1,417.23","1,417.23","3,000,440,000"
